"","batch.id","response_type","value"
"419","85277.CDX-011","abc","-93.8008"
"420","85277.CDX-011","TGI","6.7120"
"421","85277.CARBOPLATIN","angle","-3.0490"
"422","85277.CARBOPLATIN","abc","-233.0956"
"423","85277.CARBOPLATIN","TGI","0.3418"
"424","REF003BL.BMN673","angle","41.2925"
"425","REF003BL.BMN673","abc","2.7999"
"426","REF003BL.BMN673","TGI","1.5865"
"427","REF003BL.ERIBULIN","angle","101.7869"
"428","REF003BL.ERIBULIN","abc","77.8450"
"429","REF003BL.ERIBULIN","TGI","-1.8601"
"430","REF003BL.CFI-400945+ABT263","angle","NA"
"431","REF003BL.CFI-400945+ABT263","abc","NA"
"432","REF003BL.CFI-400945+ABT263","TGI","NA"
"433","REF003BL.TAXOL","angle","48.3141"
"434","REF003BL.TAXOL","abc","9.8364"
"435","REF003BL.TAXOL","TGI","0.4881"
"436","REF003BL.CFI-402257","angle","99.1646"
"437","REF003BL.CFI-402257","abc","104.1938"
"438","REF003BL.CFI-402257","TGI","18.7914"
"439","REF003BL.CARBOPLATIN","angle","13.8724"
"440","REF003BL.CARBOPLATIN","abc","-3.3760"
"441","REF003BL.CARBOPLATIN","TGI","1.5373"
"442","REF003BL.EVEROLIMUS","angle","98.5050"
"443","REF003BL.EVEROLIMUS","abc","79.9518"
"444","REF003BL.EVEROLIMUS","TGI","-4.0226"
"445","REF005BL.BMN673","angle","29.4628"
"446","REF005BL.BMN673","abc","129.2768"
"447","REF005BL.BMN673","TGI","-5.6999"
"448","REF005BL.TAXOL","angle","135.6564"
"449","REF005BL.TAXOL","abc","250.2866"
"450","REF005BL.TAXOL","TGI","-13.4942"
"451","REF005BL.CX5461","angle","6.4932"
"452","REF005BL.CX5461","abc","130.0986"
"453","REF005BL.CX5461","TGI","5.7009"
"454","REF005BL.CFI-400945","angle","28.5252"
"455","REF005BL.CFI-400945","abc","217.6837"
"456","REF005BL.CFI-400945","TGI","22.8235"
"457","REF005BL.ERIBULIN","angle","23.6920"
"458","REF005BL.ERIBULIN","abc","158.0581"
"459","REF005BL.ERIBULIN","TGI","-13.8605"
"460","REF005BL.CDX-011","angle","44.6362"
"461","REF005BL.CDX-011","abc","-36.8580"
"462","REF005BL.CDX-011","TGI","0.4841"
"463","REF005BL.TAXOL + CFI-402257","angle","138.9719"
"464","REF005BL.TAXOL + CFI-402257","abc","272.3901"
"465","REF005BL.TAXOL + CFI-402257","TGI","-19.9911"
"466","REF005BL.CARBOPLATIN","angle","-0.3040"
"467","REF005BL.CARBOPLATIN","abc","12.0185"
"468","REF005BL.CARBOPLATIN","TGI","-6.0406"
"469","REF005BL.EVEROLIMUS","angle","31.3238"
"470","REF005BL.EVEROLIMUS","abc","138.8081"
"471","REF005BL.EVEROLIMUS","TGI","-31.3715"
"472","66817.CFI-402257","angle","104.1590"
"473","66817.CFI-402257","abc","45.1978"
"474","66817.CFI-402257","TGI","-2.6763"
"475","66817.CFI-400945","angle","135.9049"
"476","66817.CFI-400945","abc","152.9971"
"477","66817.CFI-400945","TGI","-9.2177"
"478","66817.TAXOL","angle","92.2659"
"479","66817.TAXOL","abc","143.2797"
"480","66817.TAXOL","TGI","26.8000"
"481","66817.CX5461","angle","145.3849"
"482","66817.CX5461","abc","84.2221"
"483","66817.CX5461","TGI","-4.0521"
"484","66817.ERIBULIN","angle","148.3446"
"485","66817.ERIBULIN","abc","137.8886"
"486","66817.ERIBULIN","TGI","-1.7687"
"487","66817.EVEROLIMUS","angle","16.5097"
"488","66817.EVEROLIMUS","abc","2.6189"
"489","66817.EVEROLIMUS","TGI","0.0464"
"490","66817.CARBOPLATIN","angle","123.4444"
"491","66817.CARBOPLATIN","abc","88.9051"
"492","66817.CARBOPLATIN","TGI","-3.6478"
"493","69196.CFI-402257","angle","159.2619"
"494","69196.CFI-402257","abc","364.0192"
"495","69196.CFI-402257","TGI","-24.8273"
"496","69196.CFI-400945","angle","147.6586"
"497","69196.CFI-400945","abc","330.4433"
"498","69196.CFI-400945","TGI","146.6206"
"499","69196.CX5461","angle","71.2871"
"500","69196.CX5461","abc","202.0689"
"501","69196.CX5461","TGI","-7.7765"
"502","69196.TAXOL","angle","140.3707"
"503","69196.TAXOL","abc","317.9301"
"504","69196.TAXOL","TGI","-76.6338"
"505","69196.BMN673","angle","67.3142"
"506","69196.BMN673","abc","201.2328"
"507","69196.BMN673","TGI","149.8443"
"508","69196.CARBOPLATIN","angle","4.2528"
"509","69196.CARBOPLATIN","abc","182.5804"
"510","69196.CARBOPLATIN","TGI","-8.5723"
"511","69196.ERIBULIN","angle","154.0524"
"512","69196.ERIBULIN","abc","379.9624"
"513","69196.ERIBULIN","TGI","36.4327"
"514","69196.TAXOL + CFI-402257","angle","148.1324"
"515","69196.TAXOL + CFI-402257","abc","302.5137"
