id,batch_id,response_type,value
794,265,abc,-457.0456
795,265,TGI,15.2735
796,266,angle,2.7153
797,266,abc,99.9179
798,266,TGI,5.8544
799,267,angle,2.6899
800,267,abc,141.4428
801,267,TGI,-3.7199
802,268,angle,8.2799
803,268,abc,326.2783
804,268,TGI,-109.2535
805,269,angle,2.9572
806,269,abc,73.2699
807,269,TGI,-8.1633
808,270,angle,138.7606
809,270,abc,530.5472
810,270,TGI,-61.6516
811,271,angle,-1.1302
812,271,abc,-176.6297
813,271,TGI,7.9931
814,272,angle,2.0115
815,272,abc,159.2120
816,272,TGI,9.0684
817,273,angle,144.0152
818,273,abc,526.9688
819,273,TGI,-125.5176
820,274,angle,0.6888
821,274,abc,16.8374
822,274,TGI,-2.9619
823,275,angle,2.7313
824,275,abc,36.7405
825,275,TGI,6.5069
826,276,angle,22.9164
827,276,abc,442.9968
828,276,TGI,38.5217
829,277,angle,0.8288
830,277,abc,115.4274
831,277,TGI,-1.2544
832,278,angle,-0.7076
833,278,abc,-92.0123
834,278,TGI,277.3947
835,279,angle,-1.0486
836,279,abc,-251.7992
837,279,TGI,26.9433
838,280,angle,153.2422
839,280,abc,332.8984
840,280,TGI,-199.8148
841,281,angle,-0.0638
842,281,abc,43.8050
843,281,TGI,-4.0721
844,282,angle,0.0536
845,282,abc,-8.6486
846,282,TGI,11.0370
847,283,angle,-1.4457
848,283,abc,-172.7320
849,283,TGI,25.4274
850,284,angle,3.7575
851,284,abc,104.9775
852,284,TGI,-3.8758
853,285,angle,-0.0757
854,285,abc,11.3655
855,285,TGI,2.8588
856,286,angle,2.0397
857,286,abc,326.1792
858,286,TGI,-53.3565
859,287,angle,1.4665
860,287,abc,296.0259
861,287,TGI,-930.1667
862,288,angle,21.9727
863,288,abc,545.6155
864,288,TGI,17.4115
865,289,angle,0.1748
866,289,abc,175.1383
867,289,TGI,5.0486
868,290,angle,3.0564
869,290,abc,391.9837
870,290,TGI,20.9498
871,291,angle,2.6726
872,291,abc,276.8716
873,291,TGI,-30.8949
874,292,angle,1.1435
875,292,abc,273.2854
876,292,TGI,-121.3030
877,293,angle,0.3667
878,293,abc,-41.7873
879,293,TGI,2.8128
880,294,angle,2.8065
881,294,abc,479.2884
882,294,TGI,62.4506
883,295,angle,171.7571
884,295,abc,846.0652
885,295,TGI,-34.7933
886,296,angle,6.3493
887,296,abc,554.6374
888,296,TGI,-138.0686
889,297,angle,0.6180
